class,subclass,description,semantics,inference
Identity,Exact equivalence,Semantically identical concepts across vocabularies,Symmetric merge,Interchangeable
Identity,Near equivalence,Context-specific similarity (e.g. Brand names),Weak mapping,Proximity search
Identity,Version lineage,Concept lifecycle and deprecation history,Temporal audit,Succession
Hierarchy,Taxonomic – up,Generalization to parent concept,Inheritance,Ancestor traversal
Hierarchy,Taxonomic – down,Specialization to descendant concept,Refinement,Descendant traversal
Hierarchy,Categorical – up,Membership in a classification group,Grouping,Class membership
Hierarchy,Categorical – down,Expansion of grouping to members,Member listing,Class expansion
Composition,Physical,Material part-whole or assembly,Physical decomposition,Part-of inference
Composition,Structural,Inherent chemical/structural definition,Potency/Recipe definition,Structural reasoning
Composition,Containment,Packaging or multi-item kit grouping,Physical enclosure,Container reasoning
Composition,Logical,Conceptual assembly (e.g. Question/Answer sets),Logical decomposition,Knowledge structure
Association,Causal,Pathophysiological causation/etiology,Etiology search,Root cause analysis
Association,Therapeutic,Relationship between intervention and indication,Clinical guideline,Treatment inference
Association,Interaction,Biological or chemical interference between agents,Safety check,Interaction reasoning
Association,Mechanistic,Mechanism of Action or functional pathways,Pathway analysis,Mechanistic inference
Association,Diagnostic,Evidence linking tests/procedures to findings,Diagnostic path,Evidence tracing
Association,Administrative,"Operational, billing, or system tracking links",ETL/Reporting,System mapping
Association,Mapping,Cross-vocabulary or historical mapping without a guaranteed 1:1 correspondence,Weak mapping,Low-confidence linking
Attribute,Clinical,"Qualifiers like severity, status, or course",Phenotyping,Attribute enrichment
Attribute,Anatomical,Spatial location or morphology,Spatial localization,Anatomical qualification
Attribute,Measurement,"Quantitative units, scales, and properties",Quantitative analysis,Scale interpretation
Attribute,Pharmaceutical,Dose form and delivery characteristics,Drug characterization,Formulation matching
Attribute,Temporal,"Clinical event timing, sequence, or duration",Timeline reconstruction,Temporal logic
Attribute,Procedural,"Technical execution (method, route, access)",Process qualification,Technique specification
Attribute,Context,General situational qualifiers (status/state),Contextual filtering,Contextual qualification
