class,subclass,r_id,r_name,classification_notes,additional_info,link
Association,Causal,Caused by,Caused by (SNOMED),"Relates conditions to their biological, pathological, or environmental causes.",,
Association,Causal,Causes,Causes (SNOMED),"Relates conditions to their biological, pathological, or environmental causes.",,
Association,Causal,Etiology of,Etiology of (SNOMED),"Relates conditions to their biological, pathological, or environmental causes.",,
Association,Diagnostic,Diagnosed through,Diagnosed through (NDF-RT),"Links evidence, tests, variants, or clinical findings to support diagnostic reasoning. Example: [Alkalosis] -> [NITRAZINE (pH) TEST STRIP]",,
Association,Diagnostic,May diagnose,May diagnose (NDF-RT),"Links evidence, tests, variants, or clinical findings to support diagnostic reasoning. Example: [ASSURE PRISM MULTI (GLUCOSE) TEST STRIP] -> [Diabetes Mellitus]",,
Association,Interaction,Drug-drug inter for,Drug-drug interaction for (NDF),Defines safety or therapeutic interference between agents.,,
Association,Interaction,Has drug-drug inter,Is involved in drug-drug interaction (NDF),Defines safety or therapeutic interference between agents.,,
Association,Mechanistic,CI MoA of,Contraindicating mechanism of action of (NDF-RT),"Links substances to functional biological pathways or mechanisms. Example: [Estrogen Receptor Agonists] -> [NEVIRAPINE 200MG TAB,UD]",,
Association,Therapeutic,Has CI MoA,Has contraindicating mechanism of action (NDF-RT),"Links therapeutic interventions to clinical indications or contraindications. Example: [SUMATRIPTAN SUCCINATE 3MG/0.5ML INJ,PEN,0.5ML] -> [Monoamine Oxidase Inhibitors]",,
Association,Mechanistic,Has MoA,Has mechanism of action (NDF-RT),"Links substances to functional biological pathways or mechanisms. Example: [HYDROGEN PEROXIDE 3% SPRAY,TOP] -> [Unknown Cellular or Molecular Interaction]",,
Association,Causal,Induced by,Induced by (NDF-RT),"Relates conditions to their biological, pathological, or environmental causes. Example: [Abortion, Spontaneous] -> [NORGESTREL 0.075MG TAB]",,
Association,Causal,Induces,Induces (NDF-RT),"Relates conditions to their biological, pathological, or environmental causes. Example: [ASCORBIC ACID 1GM TAB,UD] -> [Hyperoxaluria]",,
Association,Mechanistic,MoA of,Mechanism of action of (NDF-RT),"Links substances to functional biological pathways or mechanisms. Example: [Interleukin-12 Antagonists] -> [USTEKINUMAB 5MG/ML INJ,SOLN,26ML]",,
Association,Therapeutic,May be treated by,May be treated by (NDF-RT),"Links therapeutic interventions to clinical indications or contraindications. Example: [Tardive Dyskinesia] -> [VALBENAZINE 80MG CAP,ORAL]",,
Association,Therapeutic,May treat,May treat (NDF-RT),"Links therapeutic interventions to clinical indications or contraindications. Example: [HYDROGEN PEROXIDE 3% SPRAY,TOP] -> [Surgical Wound Infection]",,
Attribute,Temporal,Dev intended site of,Device intended site of (SNOMED),"Qualifies clinical events by their timing, sequence, or duration. Example: [Structure of lower thoracic esophagus] -> [Lower esophageal electrical stimulation system lead]",Represents the site where the device is intended to reside in or on the body.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/physical-object/physical-object-defining-attributes#has-device-intended-site
Attribute,Anatomical,Dir morph of,Direct morphology of (SNOMED),"Defines a physical/structural abnormality at the cellular or tissue level. Example: [Benign neurofibroma] -> [Excision of neurofibroma, extensive]",Direct morphology (attribute) describes the morphologically abnormal structure that is the direct object of the Method action.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#direct-morphology
Association,Diagnostic,Dir proc site of,Direct procedure site of (SNOMED),"Links evidence, tests, variants, or clinical findings to support diagnostic reasoning. Example: [Structure of part of left hand] -> [Partial amputation of left hand]","is used when the action of the procedure is directly aimed at anatomical or acquired body structure or site, rather than something else located there",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#procedure-site-direct
Attribute,Anatomical,Direct site of,Direct site of (SNOMED),"Spatial qualifier describing location, morphology, or extent. Example: [Tissue specimen from penis obtained by excision] -> [Surgical margin involved by noninvasive premalignant neoplasm of penis in excised tissue specimen]",,
